"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.output_1","7173","21983","23569","26107","29009","32084","35097","37269","53314","29194","0","0","1"
"y.output_2","6831","20968","22495","24919","27675","30589","33459","35544","50772","27849","0","0","1"
